"INCIDENT INFO","DESCRIPTION","START_DT","MODIFIED_DT","QUADRANT","Longitude","Latitude","Count","id","Point"
" Eastbound Stoney Trail after Shaganappi Trail NW ","Multi-vehicle incident. Blocking the right lane","2026/01/05 06:47:47 AM","2026/01/05 12:37:41 AM","NW","-114.13019748916","51.15243383652","1","2026-01-05T06:47:4751.15243383651596-114.13019748915872","POINT (-114.13019748915872 51.15243383651596)"
" Southbound Stoney Trail and Anderson Road ","Two vehicle incident. Blocking the right lane","2026/01/05 06:41:59 AM","2026/01/04 11:51:57 PM","SW","-114.14159171184","50.95300669837","1","2026-01-05T06:41:5950.953006698370984-114.14159171183752","POINT (-114.14159171183752 50.953006698370984)"
" Skyview Ranch way and skyview springs common NE ","Traffic incident.","2026/01/05 05:08:38 AM","2026/01/04 11:46:28 PM","NE","-113.96314802424","51.16387497549","1","2026-01-05T05:08:3851.163874975490266-113.96314802424193","POINT (-113.96314802424193 51.163874975490266)"
" Westbound 32 Avenue and 32 Street NE ","Traffic incident.","2026/01/05 03:34:40 AM","2026/01/04 08:37:57 PM","NE","-113.98867198741","51.08121902883","1","2026-01-05T03:34:4051.08121902882563-113.98867198740729","POINT (-113.98867198740729 51.08121902882563)"
" Parkdale Boulevard and Crowchild Trail SW ","Two vehicle incident.","2026/01/05 12:18:27 AM","2026/01/04 05:20:28 PM","SW","-114.1154774703","51.04767597961","1","2026-01-05T00:18:2751.047675979612386-114.11547747030473","POINT (-114.11547747030473 51.047675979612386)"
" Country Hills Boulevard and Citadel Wy NW ","There is an incident involving a pedestrian- EMS on site.","2026/01/05 12:14:15 AM","2026/01/04 05:37:15 PM","NW","-114.19555505252","51.1426529588","1","2026-01-05T00:14:1551.142652958803744-114.19555505252391","POINT (-114.19555505252391 51.142652958803744)"
" Bow Bottom Trail and Canyon Meadows Drive SE ","Traffic incident.","2026/01/04 11:50:45 PM","2026/01/04 05:37:15 PM","SE","-114.03301051409","50.93111700801","1","2026-01-04T23:50:4550.931117008005465-114.03301051409343","POINT (-114.03301051409343 50.931117008005465)"
" Northbound Deerfoot Trail and 32 Avenue NE ","Two vehicle incident. Blocking the right lane","2026/01/04 11:49:17 PM","2026/01/04 05:37:15 PM","NW","-114.03804602403","51.08664602698","1","2026-01-04T23:49:1751.08664602697578-114.038046024028","POINT (-114.038046024028 51.08664602697578)"
" Westbound 6 Avenue and 2 Street SW ","Traffic incident. Blocking the right lane","2026/01/04 10:10:36 PM","2026/01/04 03:11:54 PM","SW","-114.06784496398","51.04759502875","1","2026-01-04T22:10:3651.04759502874863-114.06784496397776","POINT (-114.06784496397776 51.04759502874863)"
" New Brighton Gate and 52 Street SE ","Traffic incident.","2026/01/04 08:43:44 PM","2026/01/04 01:43:51 PM","SE","-113.9583555355","50.91831898448","1","2026-01-04T20:43:4450.91831898448455-113.95835553550283","POINT (-113.95835553550283 50.91831898448455)"
" Southbound Macleod Trail and Heritage Drive SE ","Traffic incident. blocking multiple lanes","2026/01/04 08:40:37 PM","2026/01/04 01:43:51 PM","SE","-114.0717014762","50.97951903059","1","2026-01-04T20:40:3750.979519030588456-114.07170147620478","POINT (-114.07170147620478 50.979519030588456)"
" Woodfield Drive and Woodview Drive SW  ","There is an incident involving a pedestrian- EMS on site.","2026/01/04 08:28:09 PM","2026/01/04 01:43:51 PM","SW","-114.12173703651","50.94118795791","1","2026-01-04T20:28:0950.9411879579096-114.1217370365055","POINT (-114.1217370365055 50.9411879579096)"
" 80 Avenue and Saddletowne Ci NE ","Traffic incident.","2026/01/04 08:18:08 PM","2026/01/04 01:29:15 PM","NE","-113.95013847033","51.12525604218","1","2026-01-04T20:18:0851.12525604218395-113.95013847032506","POINT (-113.95013847032506 51.12525604218395)"
" 27 Avenue and Barlow Trail NE ","Traffic incident.  Blocking multiple lanes","2026/01/04 08:03:53 PM","2026/01/04 01:29:15 PM","NE","-114.00223502635","51.07693498475","1","2026-01-04T20:03:5351.076934984752995-114.00223502635038","POINT (-114.00223502635038 51.076934984752995)"
" Sarcee Trail and 17 Avenue SW ","Traffic signals are flashing red.","2026/01/04 06:21:24 PM","2026/01/04 11:23:06 AM","SW","-114.1664175642","51.03935998919","1","2026-01-04T18:21:2451.039359989187055-114.16641756419875","POINT (-114.16641756419875 51.039359989187055)"
" Crowchild Trail and 24 Avenue NW ","Traffic incident.","2026/01/04 05:03:27 PM","2026/01/04 10:04:28 AM","NW","-114.11938349728","51.07444198069","1","2026-01-04T17:03:2751.07444198069472-114.11938349728216","POINT (-114.11938349728216 51.07444198069472)"
" Eastbound Stoney Trail approaching Deerfoot Trail NE ","Traffic incident. Blocking the right lane","2026/01/04 04:40:28 PM","2026/01/04 10:12:17 AM","NE","-114.01541101851","51.17616001631","1","2026-01-04T16:40:2851.17616001631488-114.01541101850715","POINT (-114.01541101850715 51.17616001631488)"
" Eastbound Bow Trail and Sarcee Trail SW ","Two vehicle incident. Blocking the right lane","2026/01/04 01:46:25 PM","2026/01/04 06:50:20 AM","SW","-114.165490462","51.05337298241","1","2026-01-04T13:46:2551.053372982409385-114.16549046199789","POINT (-114.16549046199789 51.053372982409385)"
" 13 Avenue and 1 Street SE ","Traffic incident.","2026/01/04 08:20:41 AM","2026/01/04 01:21:59 AM","SE","-114.06094652946","51.04042196366","1","2026-01-04T08:20:4151.04042196365859-114.06094652946466","POINT (-114.06094652946466 51.04042196365859)"
" Eastbound 32 Avenue and 26 Street NE ","Two vehicle incident. Blocking the left lane","2026/01/04 07:19:36 AM","2026/01/04 12:23:26 AM","NE","-113.99837882943","51.08146938961","1","2026-01-04T07:19:3651.08146938960577-113.99837882942549","POINT (-113.99837882942549 51.08146938960577)"
" Eastbound Richmond Road  and 37 Street SW ","Multi-vehicle incident. Blocking the Eastbound Lanes.","2026/01/04 05:02:37 AM","2026/01/03 10:06:09 PM","NW","-114.14133871112","51.02234518533","1","2026-01-04T05:02:3751.02234518532844-114.14133871111582","POINT (-114.14133871111582 51.02234518532844)"
" Tsuut&#39;ina Trail and 90 Avenue SW ","Traffic incident.","2026/01/04 12:55:30 AM","2026/01/03 06:10:40 PM","SW","-114.16174645411","50.98269596935","1","2026-01-04T00:55:3050.982695969352086-114.16174645410842","POINT (-114.16174645410842 50.982695969352086)"
" Eastbound Stoney Trail and Harvest Hills Boulevard N ","Traffic incident.","2026/01/04 12:46:53 AM","2026/01/03 09:56:37 PM","NE","-114.07480203888","51.17411699152","1","2026-01-04T00:46:5351.17411699152189-114.07480203888464","POINT (-114.07480203888464 51.17411699152189)"
" Southbound 36 Street and 32 Avenue NE ","Traffic incident. blocking the left lane","2026/01/04 12:35:42 AM","2026/01/03 05:56:46 PM","NE","-113.9823404398","51.08156102022","1","2026-01-04T00:35:4251.08156102021867-113.98234043979832","POINT (-113.98234043979832 51.08156102021867)"
" Southbound Nose Hill Drive approaching Scenic Acres Boulevard NW ","Two vehicle incident. blocking the left lane","2026/01/03 11:31:01 PM","2026/01/03 04:32:52 PM","NW","-114.2053964761","51.11764199819","1","2026-01-03T23:31:0151.11764199818917-114.2053964760995","POINT (-114.2053964760995 51.11764199818917)"
" Eastbound Glenmore Trail approaching 18 Street SE ","Traffic incident. Blocking the right lane","2026/01/03 07:26:14 PM","2026/01/03 12:28:41 PM","SE","-114.02374778584","50.98559911433","1","2026-01-03T19:26:1450.9855991143264-114.0237477858368","POINT (-114.0237477858368 50.9855991143264)"
" Northbound Deerfoot Trail and Memorial Drive NE ","Traffic incident. The road is closed NB","2026/01/03 11:10:19 AM","2026/01/03 04:27:31 AM","NE","-114.01746481416","51.04849350846","1","2026-01-03T11:10:1951.04849350846291-114.01746481416096","POINT (-114.01746481416096 51.04849350846291)"
" Northbound Deerfoot Trail and Memorial Drive NE ","Traffic incident. Blocking the right lane","2026/01/03 11:10:19 AM","2026/01/03 04:11:14 AM","NE","-114.01726407536","51.04829037043","1","2026-01-03T11:10:1951.04829037042885-114.01726407536393","POINT (-114.01726407536393 51.04829037042885)"
" Southbound Centre Street and 68 Avenue NE ","Traffic incident. Blocking the right lane","2026/01/03 04:30:34 AM","2026/01/02 10:11:30 PM","NE","-114.06469047966","51.11341196907","1","2026-01-03T04:30:3451.11341196906908-114.06469047965614","POINT (-114.06469047965614 51.11341196906908)"
" Southbound Deerfoot Trail after 50 Avenue SE ","Multi-vehicle incident. Blocking the right lane","2026/01/03 04:05:47 AM","2026/01/02 10:35:33 PM","SE","-114.02072722132","51.00859175116","1","2026-01-03T04:05:4751.00859175115884-114.0207272213221","POINT (-114.0207272213221 51.00859175115884)"
" 36 Street and 17 Avenue SE ","Two vehicle incident. Blocking multiple lanes in the intersection","2026/01/03 03:58:03 AM","2026/01/02 09:31:13 PM","SE","-113.9816543787","51.03790831851","1","2026-01-03T03:58:0351.03790831851027-113.98165437869626","POINT (-113.98165437869626 51.03790831851027)"
" Tuscany Hl and Nose Hill Drive NW ","Traffic incident.","2026/01/03 03:01:51 AM","2026/01/02 09:08:54 PM","NW","-114.24375201768","51.10744123616","1","2026-01-03T03:01:5151.107441236160376-114.24375201767727","POINT (-114.24375201767727 51.107441236160376)"
" Sun Valley Boulevard and Sunpark Drive SE ","Traffic incident. Blocking the WB and NB lanes","2026/01/03 02:08:28 AM","2026/01/02 08:07:49 PM","SE","-114.05519982061","50.90667588794","1","2026-01-03T02:08:2850.9066758879412-114.05519982060856","POINT (-114.05519982060856 50.9066758879412)"
" 17 Avenue and 73 Street SW ","Traffic signals are flashing red.","2026/01/03 01:56:46 AM","2026/01/02 07:12:01 PM","SW","-114.19357496929","51.03768598495","1","2026-01-03T01:56:4651.03768598495293-114.1935749692915","POINT (-114.1935749692915 51.03768598495293)"
" 28 Street and Memorial Drive SE ","Traffic incident.","2026/01/03 01:39:15 AM","2026/01/02 07:12:01 PM","SE","-113.9903001212","51.04844550642","1","2026-01-03T01:39:1551.04844550641677-113.99030012119792","POINT (-113.99030012119792 51.04844550641677)"
" 106 Avenue and 68 Street SE ","Traffic incident.","2026/01/03 12:51:24 AM","2026/01/02 06:40:52 PM","SE","-113.93517692418","50.96249061111","1","2026-01-03T00:51:2450.96249061111068-113.93517692418489","POINT (-113.93517692418489 50.96249061111068)"
" Southbound Macleod Trail approaching 194 Avenue SW ","Multi-vehicle incident. Blocking the left lanes","2026/01/02 11:28:21 PM","2026/01/02 05:54:57 PM","SW","-114.04608529921","50.87877965061","1","2026-01-02T23:28:2150.878779650605026-114.04608529920736","POINT (-114.04608529920736 50.878779650605026)"
" 88 Avenue and 46 Street NE ","Traffic incident.","2026/01/02 11:08:12 PM","2026/01/02 05:00:49 PM","NE","-113.96588396606","51.13246497511","1","2026-01-02T23:08:1251.13246497510662-113.9658839660556","POINT (-113.9658839660556 51.13246497510662)"
" 28 Avenue and 56 Street NE ","Traffic incident.","2026/01/02 09:10:39 PM","2026/01/02 02:12:04 PM","NE","-113.95215451257","51.07689896521","1","2026-01-02T21:10:3951.0768989652079-113.95215451257081","POINT (-113.95215451257081 51.0768989652079)"
" Westbound 16 Avenue and Sarcee Trail NW ","Stalled vehicle. Partially Blocking the right lane","2026/01/02 09:06:14 PM","2026/01/02 05:00:49 PM","NW","-114.19378165291","51.08161760144","1","2026-01-02T21:06:1451.081617601443234-114.1937816529114","POINT (-114.1937816529114 51.081617601443234)"
" Southbound 52 Street at 76 Avenue SE ","Traffic incident. Blocking the left lane","2026/01/02 08:50:15 PM","2026/01/02 01:55:05 PM","SE","-113.95864018604","50.98526895424","1","2026-01-02T20:50:1550.98526895423773-113.95864018603997","POINT (-113.95864018603997 50.98526895423773)"
" 32 Avenue and 23 Street NE ","Traffic incident.  Blocking the EB right lane","2026/01/02 03:00:51 PM","2026/01/02 09:04:58 AM","NE","-114.0052987135","51.08148087752","1","2026-01-02T15:00:5151.081480877517684-114.0052987135005","POINT (-114.0052987135005 51.081480877517684)"
" 14 Street and 33 Avenue SW ","Traffic incident.","2026/01/02 02:34:45 PM","2026/01/02 08:19:55 AM","SW","-114.0947364248","51.0238695459","1","2026-01-02T14:34:4551.02386954589839-114.09473642480394","POINT (-114.09473642480394 51.02386954589839)"
" Eastbound Bow Trail and Crowchild Trail SW ","Traffic incident.","2026/01/02 08:51:08 AM","2026/01/02 02:55:41 AM","SW","-114.11504543336","51.04235699848","1","2026-01-02T08:51:0851.042356998484564-114.11504543336237","POINT (-114.11504543336237 51.042356998484564)"
" Eastbound Memorial Drive and Deerfoot Trail SE ","Traffic incident.","2026/01/02 08:34:33 AM","2026/01/02 02:55:41 AM","SE","-114.01835406302","51.04783927957","1","2026-01-02T08:34:3351.04783927957401-114.01835406301625","POINT (-114.01835406301625 51.04783927957401)"
" 88 Avenue and Metis Trail NE ","Traffic incident.","2026/01/02 04:00:35 AM","2026/01/01 09:01:28 PM","NE","-113.97010715105","51.13261436926","1","2026-01-02T04:00:3551.1326143692553-113.97010715105034","POINT (-113.97010715105034 51.1326143692553)"
" 30 Avenue and 19 Street NE ","Traffic incident.","2026/01/02 01:50:40 AM","2026/01/01 06:51:46 PM","NE","-114.01165796567","51.07965299461","1","2026-01-02T01:50:4051.07965299461099-114.01165796567265","POINT (-114.01165796567265 51.07965299461099)"
" Bowness Road and 43 Street NW ","Traffic incident.","2026/01/01 11:11:50 PM","2026/01/01 04:12:51 PM","NW","-114.15577947542","51.06906897579","1","2026-01-01T23:11:5051.06906897578681-114.15577947541928","POINT (-114.15577947541928 51.06906897578681)"
