REF_DATE,GEO,DGUID,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015-06,Alberta,2016A000248,Job vacancies,Number,223,units,0,v1481212172,10.1,63430,A,,,0
2015-06,Alberta,2016A000248,Payroll employees,Number,223,units,0,v1481212173,10.2,2009170,A,,,0
2015-06,Alberta,2016A000248,Job vacancy rate,Percent,239,units,0,v1481212174,10.3,3.1,A,,,1
2015-06,British Columbia,2016A000259,Job vacancies,Number,223,units,0,v1481212175,11.1,76595,B,,,0
2015-06,British Columbia,2016A000259,Payroll employees,Number,223,units,0,v1481212176,11.2,1993885,A,,,0
2015-06,British Columbia,2016A000259,Job vacancy rate,Percent,239,units,0,v1481212177,11.3,3.7,B,,,1
2015-06,Yukon,2016A000260,Job vacancies,Number,223,units,0,v1481212178,12.1,695,E,,,0
2015-06,Yukon,2016A000260,Payroll employees,Number,223,units,0,v1481212179,12.2,15935,A,,,0
2015-06,Yukon,2016A000260,Job vacancy rate,Percent,239,units,0,v1481212180,12.3,4.2,E,,,1
2015-06,Northwest Territories,2016A000261,Job vacancies,Number,223,units,0,v1481212181,13.1,835,E,,,0
2015-06,Northwest Territories,2016A000261,Payroll employees,Number,223,units,0,v1481212182,13.2,22590,A,,,0
2015-06,Northwest Territories,2016A000261,Job vacancy rate,Percent,239,units,0,v1481212183,13.3,3.6,E,,,1
2015-06,Nunavut,2016A000262,Job vacancies,Number,223,units,0,v1481212184,14.1,,F,,,0
2015-06,Nunavut,2016A000262,Payroll employees,Number,223,units,0,v1481212185,14.2,10800,A,,,0
2015-06,Nunavut,2016A000262,Job vacancy rate,Percent,239,units,0,v1481212186,14.3,,F,,,1
2015-07,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1481212145,1.1,376570,A,,,0
2015-07,Canada,2016A000011124,Payroll employees,Number,223,units,0,v1481212146,1.2,15118770,A,,,0
2015-07,Canada,2016A000011124,Job vacancy rate,Percent,239,units,0,v1481212147,1.3,2.4,A,,,1
2015-07,Newfoundland and Labrador,2016A000210,Job vacancies,Number,223,units,0,v1481212148,2.1,4255,C,,,0
2015-07,Newfoundland and Labrador,2016A000210,Payroll employees,Number,223,units,0,v1481212149,2.2,207710,A,,,0
2015-07,Newfoundland and Labrador,2016A000210,Job vacancy rate,Percent,239,units,0,v1481212150,2.3,2,C,,,1
2015-07,Prince Edward Island,2016A000211,Job vacancies,Number,223,units,0,v1481212151,3.1,890,D,,,0
2015-07,Prince Edward Island,2016A000211,Payroll employees,Number,223,units,0,v1481212152,3.2,57600,A,,,0
2015-07,Prince Edward Island,2016A000211,Job vacancy rate,Percent,239,units,0,v1481212153,3.3,1.5,D,,,1
2015-07,Nova Scotia,2016A000212,Job vacancies,Number,223,units,0,v1481212154,4.1,9780,B,,,0
2015-07,Nova Scotia,2016A000212,Payroll employees,Number,223,units,0,v1481212155,4.2,392985,A,,,0
2015-07,Nova Scotia,2016A000212,Job vacancy rate,Percent,239,units,0,v1481212156,4.3,2.4,B,,,1
2015-07,New Brunswick,2016A000213,Job vacancies,Number,223,units,0,v1481212157,5.1,5385,C,,,0
2015-07,New Brunswick,2016A000213,Payroll employees,Number,223,units,0,v1481212158,5.2,279905,A,,,0
2015-07,New Brunswick,2016A000213,Job vacancy rate,Percent,239,units,0,v1481212159,5.3,1.9,B,,,1
2015-07,Quebec,2016A000224,Job vacancies,Number,223,units,0,v1481212160,6.1,54410,A,,,0
2015-07,Quebec,2016A000224,Payroll employees,Number,223,units,0,v1481212161,6.2,3325620,A,,,0
2015-07,Quebec,2016A000224,Job vacancy rate,Percent,239,units,0,v1481212162,6.3,1.6,A,,,1
2015-07,Ontario,2016A000235,Job vacancies,Number,223,units,0,v1481212163,7.1,146030,A,,,0
2015-07,Ontario,2016A000235,Payroll employees,Number,223,units,0,v1481212164,7.2,5803505,A,,,0
2015-07,Ontario,2016A000235,Job vacancy rate,Percent,239,units,0,v1481212165,7.3,2.5,A,,,1
2015-07,Manitoba,2016A000246,Job vacancies,Number,223,units,0,v1481212166,8.1,12185,C,,,0
2015-07,Manitoba,2016A000246,Payroll employees,Number,223,units,0,v1481212167,8.2,554545,A,,,0
2015-07,Manitoba,2016A000246,Job vacancy rate,Percent,239,units,0,v1481212168,8.3,2.1,C,,,1
2015-07,Saskatchewan,2016A000247,Job vacancies,Number,223,units,0,v1481212169,9.1,10955,B,,,0
2015-07,Saskatchewan,2016A000247,Payroll employees,Number,223,units,0,v1481212170,9.2,464285,A,,,0
2015-07,Saskatchewan,2016A000247,Job vacancy rate,Percent,239,units,0,v1481212171,9.3,2.3,B,,,1
2015-07,Alberta,2016A000248,Job vacancies,Number,223,units,0,v1481212172,10.1,61615,B,,,0
2015-07,Alberta,2016A000248,Payroll employees,Number,223,units,0,v1481212173,10.2,1990100,A,,,0
2015-07,Alberta,2016A000248,Job vacancy rate,Percent,239,units,0,v1481212174,10.3,3,B,,,1
2015-07,British Columbia,2016A000259,Job vacancies,Number,223,units,0,v1481212175,11.1,69125,B,,,0
2015-07,British Columbia,2016A000259,Payroll employees,Number,223,units,0,v1481212176,11.2,1993245,A,,,0
2015-07,British Columbia,2016A000259,Job vacancy rate,Percent,239,units,0,v1481212177,11.3,3.4,B,,,1
2015-07,Yukon,2016A000260,Job vacancies,Number,223,units,0,v1481212178,12.1,655,D,,,0
2015-07,Yukon,2016A000260,Payroll employees,Number,223,units,0,v1481212179,12.2,15675,A,,,0
2015-07,Yukon,2016A000260,Job vacancy rate,Percent,239,units,0,v1481212180,12.3,4,D,,,1
2015-07,Northwest Territories,2016A000261,Job vacancies,Number,223,units,0,v1481212181,13.1,915,D,,,0
2015-07,Northwest Territories,2016A000261,Payroll employees,Number,223,units,0,v1481212182,13.2,22820,A,,,0
2015-07,Northwest Territories,2016A000261,Job vacancy rate,Percent,239,units,0,v1481212183,13.3,3.9,D,,,1
2015-07,Nunavut,2016A000262,Job vacancies,Number,223,units,0,v1481212184,14.1,370,E,,,0
2015-07,Nunavut,2016A000262,Payroll employees,Number,223,units,0,v1481212185,14.2,10780,A,,,0
2015-07,Nunavut,2016A000262,Job vacancy rate,Percent,239,units,0,v1481212186,14.3,3.3,E,,,1
2015-08,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1481212145,1.1,369190,A,,,0
2015-08,Canada,2016A000011124,Payroll employees,Number,223,units,0,v1481212146,1.2,15175415,A,,,0
2015-08,Canada,2016A000011124,Job vacancy rate,Percent,239,units,0,v1481212147,1.3,2.4,A,,,1
2015-08,Newfoundland and Labrador,2016A000210,Job vacancies,Number,223,units,0,v1481212148,2.1,4220,C,,,0
2015-08,Newfoundland and Labrador,2016A000210,Payroll employees,Number,223,units,0,v1481212149,2.2,195120,A,,,0
2015-08,Newfoundland and Labrador,2016A000210,Job vacancy rate,Percent,239,units,0,v1481212150,2.3,2.1,C,,,1
2015-08,Prince Edward Island,2016A000211,Job vacancies,Number,223,units,0,v1481212151,3.1,1380,D,,,0
2015-08,Prince Edward Island,2016A000211,Payroll employees,Number,223,units,0,v1481212152,3.2,59680,A,,,0
2015-08,Prince Edward Island,2016A000211,Job vacancy rate,Percent,239,units,0,v1481212153,3.3,2.3,D,,,1
2015-08,Nova Scotia,2016A000212,Job vacancies,Number,223,units,0,v1481212154,4.1,9220,B,,,0
2015-08,Nova Scotia,2016A000212,Payroll employees,Number,223,units,0,v1481212155,4.2,390050,A,,,0
2015-08,Nova Scotia,2016A000212,Job vacancy rate,Percent,239,units,0,v1481212156,4.3,2.3,B,,,1
2015-08,New Brunswick,2016A000213,Job vacancies,Number,223,units,0,v1481212157,5.1,5660,C,,,0
2015-08,New Brunswick,2016A000213,Payroll employees,Number,223,units,0,v1481212158,5.2,297370,A,,,0
2015-08,New Brunswick,2016A000213,Job vacancy rate,Percent,239,units,0,v1481212159,5.3,1.9,C,,,1
2015-08,Quebec,2016A000224,Job vacancies,Number,223,units,0,v1481212160,6.1,51845,A,,,0
2015-08,Quebec,2016A000224,Payroll employees,Number,223,units,0,v1481212161,6.2,3331915,A,,,0
2015-08,Quebec,2016A000224,Job vacancy rate,Percent,239,units,0,v1481212162,6.3,1.5,A,,,1
2015-08,Ontario,2016A000235,Job vacancies,Number,223,units,0,v1481212163,7.1,148005,A,,,0
2015-08,Ontario,2016A000235,Payroll employees,Number,223,units,0,v1481212164,7.2,5830100,A,,,0
2015-08,Ontario,2016A000235,Job vacancy rate,Percent,239,units,0,v1481212165,7.3,2.5,A,,,1
2015-08,Manitoba,2016A000246,Job vacancies,Number,223,units,0,v1481212166,8.1,13245,B,,,0
2015-08,Manitoba,2016A000246,Payroll employees,Number,223,units,0,v1481212167,8.2,559805,A,,,0
2015-08,Manitoba,2016A000246,Job vacancy rate,Percent,239,units,0,v1481212168,8.3,2.3,B,,,1
2015-08,Saskatchewan,2016A000247,Job vacancies,Number,223,units,0,v1481212169,9.1,11115,B,,,0
2015-08,Saskatchewan,2016A000247,Payroll employees,Number,223,units,0,v1481212170,9.2,469960,A,,,0
2015-08,Saskatchewan,2016A000247,Job vacancy rate,Percent,239,units,0,v1481212171,9.3,2.3,B,,,1
2015-08,Alberta,2016A000248,Job vacancies,Number,223,units,0,v1481212172,10.1,59950,B,,,0
2015-08,Alberta,2016A000248,Payroll employees,Number,223,units,0,v1481212173,10.2,1984055,A,,,0
2015-08,Alberta,2016A000248,Job vacancy rate,Percent,239,units,0,v1481212174,10.3,2.9,A,,,1
2015-08,British Columbia,2016A000259,Job vacancies,Number,223,units,0,v1481212175,11.1,62375,A,,,0
2015-08,British Columbia,2016A000259,Payroll employees,Number,223,units,0,v1481212176,11.2,2008250,A,,,0
2015-08,British Columbia,2016A000259,Job vacancy rate,Percent,239,units,0,v1481212177,11.3,3,A,,,1
2015-08,Yukon,2016A000260,Job vacancies,Number,223,units,0,v1481212178,12.1,,F,,,0
2015-08,Yukon,2016A000260,Payroll employees,Number,223,units,0,v1481212179,12.2,16020,A,,,0
2015-08,Yukon,2016A000260,Job vacancy rate,Percent,239,units,0,v1481212180,12.3,,F,,,1
2015-08,Northwest Territories,2016A000261,Job vacancies,Number,223,units,0,v1481212181,13.1,815,D,,,0
2015-08,Northwest Territories,2016A000261,Payroll employees,Number,223,units,0,v1481212182,13.2,22835,A,,,0
2015-08,Northwest Territories,2016A000261,Job vacancy rate,Percent,239,units,0,v1481212183,13.3,3.4,D,,,1
2015-08,Nunavut,2016A000262,Job vacancies,Number,223,units,0,v1481212184,14.1,,F,,,0
2015-08,Nunavut,2016A000262,Payroll employees,Number,223,units,0,v1481212185,14.2,10260,A,,,0
2015-08,Nunavut,2016A000262,Job vacancy rate,Percent,239,units,0,v1481212186,14.3,,F,,,1
2015-09,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1481212145,1.1,406330,A,,,0
2015-09,Canada,2016A000011124,Payroll employees,Number,223,units,0,v1481212146,1.2,15165595,A,,,0
2015-09,Canada,2016A000011124,Job vacancy rate,Percent,239,units,0,v1481212147,1.3,2.6,A,,,1
2015-09,Newfoundland and Labrador,2016A000210,Job vacancies,Number,223,units,0,v1481212148,2.1,7310,E,,,0
2015-09,Newfoundland and Labrador,2016A000210,Payroll employees,Number,223,units,0,v1481212149,2.2,195405,A,,,0
2015-09,Newfoundland and Labrador,2016A000210,Job vacancy rate,Percent,239,units,0,v1481212150,2.3,3.6,E,,,1
2015-09,Prince Edward Island,2016A000211,Job vacancies,Number,223,units,0,v1481212151,3.1,1280,D,,,0
2015-09,Prince Edward Island,2016A000211,Payroll employees,Number,223,units,0,v1481212152,3.2,58260,A,,,0
2015-09,Prince Edward Island,2016A000211,Job vacancy rate,Percent,239,units,0,v1481212153,3.3,2.1,D,,,1
2015-09,Nova Scotia,2016A000212,Job vacancies,Number,223,units,0,v1481212154,4.1,10925,E,,,0
2015-09,Nova Scotia,2016A000212,Payroll employees,Number,223,units,0,v1481212155,4.2,400450,A,,,0
2015-09,Nova Scotia,2016A000212,Job vacancy rate,Percent,239,units,0,v1481212156,4.3,2.7,E,,,1
2015-09,New Brunswick,2016A000213,Job vacancies,Number,223,units,0,v1481212157,5.1,6965,B,,,0
2015-09,New Brunswick,2016A000213,Payroll employees,Number,223,units,0,v1481212158,5.2,282665,A,,,0
2015-09,New Brunswick,2016A000213,Job vacancy rate,Percent,239,units,0,v1481212159,5.3,2.4,B,,,1
2015-09,Quebec,2016A000224,Job vacancies,Number,223,units,0,v1481212160,6.1,62975,A,,,0
2015-09,Quebec,2016A000224,Payroll employees,Number,223,units,0,v1481212161,6.2,3333075,A,,,0
2015-09,Quebec,2016A000224,Job vacancy rate,Percent,239,units,0,v1481212162,6.3,1.9,A,,,1
2015-09,Ontario,2016A000235,Job vacancies,Number,223,units,0,v1481212163,7.1,159195,A,,,0
2015-09,Ontario,2016A000235,Payroll employees,Number,223,units,0,v1481212164,7.2,5834660,A,,,0
2015-09,Ontario,2016A000235,Job vacancy rate,Percent,239,units,0,v1481212165,7.3,2.7,A,,,1
2015-09,Manitoba,2016A000246,Job vacancies,Number,223,units,0,v1481212166,8.1,12345,B,,,0
2015-09,Manitoba,2016A000246,Payroll employees,Number,223,units,0,v1481212167,8.2,565835,A,,,0
2015-09,Manitoba,2016A000246,Job vacancy rate,Percent,239,units,0,v1481212168,8.3,2.1,B,,,1
2015-09,Saskatchewan,2016A000247,Job vacancies,Number,223,units,0,v1481212169,9.1,11895,B,,,0
2015-09,Saskatchewan,2016A000247,Payroll employees,Number,223,units,0,v1481212170,9.2,462540,A,,,0
2015-09,Saskatchewan,2016A000247,Job vacancy rate,Percent,239,units,0,v1481212171,9.3,2.5,B,,,1
2015-09,Alberta,2016A000248,Job vacancies,Number,223,units,0,v1481212172,10.1,61965,B,,,0
2015-09,Alberta,2016A000248,Payroll employees,Number,223,units,0,v1481212173,10.2,1984765,A,,,0
2015-09,Alberta,2016A000248,Job vacancy rate,Percent,239,units,0,v1481212174,10.3,3,A,,,1
2015-09,British Columbia,2016A000259,Job vacancies,Number,223,units,0,v1481212175,11.1,70070,B,,,0
2015-09,British Columbia,2016A000259,Payroll employees,Number,223,units,0,v1481212176,11.2,1999400,A,,,0
2015-09,British Columbia,2016A000259,Job vacancy rate,Percent,239,units,0,v1481212177,11.3,3.4,B,,,1
2015-09,Yukon,2016A000260,Job vacancies,Number,223,units,0,v1481212178,12.1,585,D,,,0
2015-09,Yukon,2016A000260,Payroll employees,Number,223,units,0,v1481212179,12.2,15680,A,,,0
2015-09,Yukon,2016A000260,Job vacancy rate,Percent,239,units,0,v1481212180,12.3,3.6,D,,,1
2015-09,Northwest Territories,2016A000261,Job vacancies,Number,223,units,0,v1481212181,13.1,600,E,,,0
2015-09,Northwest Territories,2016A000261,Payroll employees,Number,223,units,0,v1481212182,13.2,22755,A,,,0
2015-09,Northwest Territories,2016A000261,Job vacancy rate,Percent,239,units,0,v1481212183,13.3,2.6,D,,,1
2015-09,Nunavut,2016A000262,Job vacancies,Number,223,units,0,v1481212184,14.1,230,D,,,0
2015-09,Nunavut,2016A000262,Payroll employees,Number,223,units,0,v1481212185,14.2,10115,A,,,0
2015-09,Nunavut,2016A000262,Job vacancy rate,Percent,239,units,0,v1481212186,14.3,2.2,D,,,1
2015-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1481212145,1.1,362955,A,,,0
2015-10,Canada,2016A000011124,Payroll employees,Number,223,units,0,v1481212146,1.2,15127745,A,,,0
2015-10,Canada,2016A000011124,Job vacancy rate,Percent,239,units,0,v1481212147,1.3,2.3,A,,,1
